"","Names","Birth_dates","Countries","Wikidata","Occupation","bytes_english","Quotations_english","languages_english","bytes_german","Quotations_german","languages_german","bytes_french","Quotations_french","languages_french","pca"
"1","1837), Hans",1837,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q741034","scientist",NA,NA,NA,17527,46,5,2830,19,5,1.0820184540208
"2","Calvisius, Sethus",1556,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q65356","composer",4370,44,13,6635,93,13,4619,49,13,2.02207416251724
"3","Herschel, Wilhelm",1738,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q14277","scientist",49470,1323,86,30228,1785,86,24230,979,86,18.5579884653708
"4","Borodin ,  Aleksandr",1833,"Russia","https://www.wikidata.org/wiki/Special:EntityPage/Q164004","composer",21842,834,66,21042,198,66,14296,400,66,10.3711297419648
"5","Fulda, Adam",1445,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q311528"," composer ",NA,NA,NA,4576,27,11,4144,18,11,1.01551164534962
"6"," Agostini ,  Lodovico ",1534,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q946839"," composer ",NA,NA,NA,1401,10,8,2194,14,8,0.645509248276374
"7"," Ackermann ,  Alexander ",1446,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q360813"," composer ",8620,120,24,21698,48,24,63517,68,24,4.806513432139
"8","Agricola, Bartholom%C3%A4us",1560,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q809336"," composer ",NA,NA,NA,4980,17,1,NA,NA,NA,0.226999400948973
"9","Agricola, Martin",1486,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q76588"," composer ",NA,NA,NA,3694,43,26,2765,25,26,1.95588307299586
"10"," Aichinger ,  Gregor ",1564," Trocolandia ","https://www.wikidata.org/wiki/Special:EntityPage/Q633088"," composer ",NA,NA,NA,4206,28,12,3622,22,12,1.06959543649989
"11","Alamire, Petrus",1470,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q2786299"," composer ",6644,30,4,11261,14,4,NA,NA,NA,0.906131918629041
"12","Alder, Cosmas",1497," Switzerland ","https://www.wikidata.org/wiki/Special:EntityPage/Q1136097"," politician ",NA,NA,NA,2541,18,2,NA,NA,NA,0.178240908285138
"13","Amerbach, Bonifacius",1495," Switzerland ","https://www.wikidata.org/wiki/Special:EntityPage/Q892504"," composer ",NA,NA,NA,10220,43,6,NA,NA,NA,0.602553724492458
"14","Amon, Blasius",1558," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q326169"," composer ",NA,NA,NA,2928,12,6,NA,NA,NA,0.305112752775195
"15","Anerio, Giovanni",1567,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q711181"," composer ",NA,NA,NA,4458,25,13,4810,22,13,1.15685034404573
"16","Animuccia, Giovanni",1520,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q500507"," composer ",NA,NA,NA,2023,18,16,3333,16,16,1.21088688600059
"17"," Appenzeller ,  Benedictus ",1480,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q428997"," composer ",5809,14,8,13507,19,8,7468,17,8,1.62521979673787
"18","Arcadelt, Jakob",1507,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q316402"," composer ",17423,124,24,20125,59,24,24361,60,24,4.35860616383496
"19","Aretino, Paolo",1508,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q751216"," composer ",NA,NA,NA,1879,9,5,2147,4,5,0.442643006618654
"20","Bruck, Arnold",1500," Austria ","https://www.wikidata.org/wiki/Special:EntityPage/Q696713"," composer ",6134,24,10,14177,35,10,6231,22,10,1.8792230697263
"21"," Aaron ,  Pietro ",1489,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q653171"," composer ",NA,NA,NA,4662,18,12,NA,NA,NA,0.559924858655632
"22","Artusi, Giovanni",1540,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q725724"," composer ",NA,NA,NA,3266,19,13,6399,16,13,1.11842650791943
"23","Asola, Giovanni",1524,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q711758"," composer ",NA,NA,NA,1845,20,5,NA,NA,NA,0.251649931587635
"24","Attaingnant, Pierre",1494,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q644849"," composer ",NA,NA,NA,3671,48,14,NA,NA,NA,0.640796060838435
"25","Azzaiolo, Filippo",1530,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q717917"," composer ",NA,NA,NA,1171,7,8,1924,10,8,0.617189596280135
"26","Baccusi, Ippolito",1540,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1493373"," composer ",3501,9,5,2892,8,5,5436,6,5,0.8206314428137
"27","Bacheler, Daniel",1572,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q349680"," composer ",4091,29,6,1839,7,6,7548,5,6,0.957098358392222
"28","Bakfark, Valentin",1507," Hungary ","https://www.wikidata.org/wiki/Special:EntityPage/Q788956"," composer ",5046,62,18,3025,22,18,NA,NA,NA,1.50595250019421
"29","(Musiker), John",1560,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1587482"," singer ",NA,NA,NA,1614,4,2,990,11,2,0.234049891438913
"30","Barb%C3%A9, Antoine",1505,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q2261254"," composer ",NA,NA,NA,4434,14,3,8003,12,3,0.534496799931482
"31","Barbetta, Giulio",1540,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1528020"," composer ",NA,NA,NA,2003,13,3,2688,15,3,0.36628190265578
"32","Barbireau, Jacob",1455,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q1250056"," composer ",6909,27,10,11447,21,10,19075,18,10,2.00750032739936
"33"," Barré ,  Leonardo ",1510,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1819064"," kapellmeister ",NA,NA,NA,1123,4,2,NA,NA,NA,0.106620084875082
"34","Basiron, Philippe",1450,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q2087520"," composer ",NA,NA,NA,10419,17,4,NA,NA,NA,0.502111903827063
"35","Bassano, Giovanni",1558,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q494292"," composer ",NA,NA,NA,4411,19,12,4967,16,12,1.06842315388767
"36","Bassengius, %C3%84gidius",1500,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q28076691"," composer ",NA,NA,NA,5225,5,1,NA,NA,NA,0.214448384645091
"37","Baston, Josquin",1515,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q1936977"," composer ",1128,12,6,9024,18,6,15166,11,6,1.24743731423222
"38","Bati, Luca",1546,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2424465"," composer ",NA,NA,NA,4344,6,8,1494,15,8,0.727410751195061
"39","Bauldeweyn, Noel",1480,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q1448940"," composer ",4572,20,6,7021,9,6,784,9,6,1.0303653062719
"40","Bazylik, Cyprian",1535,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q709965"," poet ",1428,17,7,960,6,7,NA,NA,NA,0.547507338394094
"41","Beaulieu, Eustorg",1495,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1378765"," composer ",643,6,5,4297,8,5,16427,28,5,1.02172844547365
"42","Belle, Jan",1522,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q2086114"," composer ",1445,3,4,4011,6,4,6720,8,4,0.712958299327951
"43","(Komponist), John",1575,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q374718"," composer ",4044,21,6,2523,7,6,4596,20,6,0.956728812988766
"44","Berchem, Jacquet",1505,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q1413650"," composer ",NA,NA,NA,15049,19,5,8246,17,5,1.04211652579008
"45","Berm%C3%BAdez, Pedro",1558," Mexico ","https://www.wikidata.org/wiki/Special:EntityPage/Q445960"," composer ",NA,NA,NA,3610,8,4,3510,15,4,0.488972726814096
"46","Bermudo, Juan",1510,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q615523"," mathematician ",NA,NA,NA,7596,15,8,NA,NA,NA,0.528552677513835
"47","Bernardi, Stefano",1577,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2338352"," composer ",NA,NA,NA,4584,18,5,14964,13,5,0.797549216500235
"48","Besard, Jean-Baptiste",1567,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1684613"," composer ",3124,22,6,3754,25,6,4959,13,6,0.987715724765881
"49","Binchois, Gilles",1400,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q214964"," composer ",4177,142,32,25596,64,32,4536,91,32,4.62952054647147
"50","Bonelli, Aurelio",1569,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q775548"," composer ",NA,NA,NA,1950,5,4,NA,NA,NA,0.198155601533774
"51","Bonmarch%C3%A9, Jean",1522,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q3175294"," composer ",1788,14,4,5568,9,4,6891,18,4,0.825084697897984
"52","Bordon, Pieter",1450,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q1460157"," composer ",NA,NA,NA,2907,9,2,NA,NA,NA,0.174922276923867
"53"," Borek ,  Krzysztof ",1520,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q972192"," composer ",NA,NA,NA,935,10,2,NA,NA,NA,0.110705204430222
"54","Borrono, Pietro",1490,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1700443"," composer ",NA,NA,NA,3597,11,3,6328,8,3,0.461235818733922
"55","Boscoop, Cornelis",1531,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q328029"," composer ",NA,NA,NA,7762,15,4,10186,13,4,0.751659240852287
"56"," Bourgeois ,  Louis ",1510,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q493014"," composer ",NA,NA,NA,2436,37,11,15298,30,11,1.18898687118566
"57","Bovicelli, Giovanni",1550,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1446191"," composer ",NA,NA,NA,2502,5,2,NA,NA,NA,0.154463961813463
"58","Brade, William",1560,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1706870"," composer ",4628,50,9,3662,22,9,1816,10,9,1.28439797205962
"59"," Brant ,  Jan ",1554,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q1681651"," composer ",NA,NA,NA,1653,8,1,NA,NA,NA,0.100182981986198
"60","Brandt, Jobst",1517,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1289358"," composer ",NA,NA,NA,3007,29,1,NA,NA,NA,0.181764287554593
"61","Brumel, Antoine",1460,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q455101"," composer ",9059,121,17,15866,39,17,5520,60,17,2.91147245996562
"62"," Buchner ,  Hans ",1483,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q77395"," composer ",NA,NA,NA,9157,25,7,3372,18,7,0.898998732276015
"63","(Komponist), John",1562,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q511463"," composer ",12904,110,22,19043,42,22,12655,83,22,3.79439205540009
"64","Burck, Joachim",1546,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1690611"," composer ",NA,NA,NA,2695,32,6,NA,NA,NA,0.331894443571171
"65","Burmeister, Joachim",1564,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q359148"," poet ",NA,NA,NA,4427,30,5,6750,11,5,0.663622536066794
"66","Busnoys, Antoine",1430,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q317937"," composer ",12043,126,27,22271,43,27,12152,60,27,4.29807152192932
"67","Buus, Jakob",1500,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q1999938"," organist ",3788,19,6,8078,12,6,3238,15,6,1.10301766602733
"68"," Byrd ,  William ",1543,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q208375"," composer ",58141,583,39,3496,120,39,23274,164,39,7.4987280204721
"69","Cabez%C3%B3n, Antonio",1510,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q356953"," organist ",NA,NA,NA,3411,46,19,2531,56,19,1.58823699511682
"70","Caccini, Giulio",1551,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q215308"," composer ",NA,NA,NA,11930,90,32,9445,102,33,3.04697998898946
"71","Campion, Thomas",1567,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q455618"," poet ",12205,182,17,2512,39,17,8127,37,17,2.62910399988784
"72","Canale, Floriano",1612,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q28838646"," composer ",NA,NA,NA,11553,4,1,10845,5,2,0.692134087948998
"73","Canis, Cornelius",1506,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q2997483"," cantor ",9630,27,5,13788,14,5,8998,20,5,1.5190832112332
"74","Capirola, Vincenzo",1474,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q612634"," composer ",NA,NA,NA,2106,8,8,3233,20,8,0.699911000200696
"75","Cara, Marco",1470,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q711463"," composer ",NA,NA,NA,1370,12,7,5161,18,7,0.647498228039062
"76"," Caron ,  Firminus ",1430,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1419180"," composer ",4751,58,6,9171,12,6,9613,7,6,1.31067989832846
"77","(Komponist), Carpentras",1470,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1150781"," composer ",NA,NA,NA,5822,16,6,NA,NA,NA,0.408805834563102
"78","Carreira, Ant%C3%B3nio",1525,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q327043"," organist ",1603,15,6,6142,13,6,1694,7,6,0.914784459127687
"79","Castro, Jean",1540,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q3175340"," composer ",NA,NA,NA,10753,11,4,31088,23,4,1.23813814285901
"80","Cato, Diomedes",1560,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q931464"," composer ",NA,NA,NA,2015,7,7,1903,8,7,0.576515035033553
"81","Caurroy, Eustache",1549,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1378713"," composer ",NA,NA,NA,3113,19,5,18774,76,5,0.985539539064006
"82","Cavaccio, Giovanni",1556,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q18020491"," composer ",NA,NA,NA,2400,5,1,NA,NA,NA,0.119977426081834
"83"," De' Cavalieri ,  Emilio ",1550,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q360436"," composer ",NA,NA,NA,2729,45,19,4371,52,19,1.58526710355236
"84","Cavazzoni, Girolamo",1510,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q961212"," organist ",5440,22,5,1781,13,5,4106,19,5,0.883580730234505
"85","Cavazzoni, Marco",1485,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q3845879"," organist ",NA,NA,NA,2757,11,5,3559,7,6,0.54035856260421
"86","Cerreto, Scipione",1551,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2260345"," composer ",NA,NA,NA,2384,12,5,NA,NA,NA,0.255845274146236
"87","Certon, Pierre",1515,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q484817"," composer ",NA,NA,NA,1347,15,8,19434,32,8,1.00290277122361
"88"," Champion ,  Nicolas ",1480,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q1999094"," composer ",5200,19,6,8952,16,6,12411,17,6,1.35172742004709
"89","Ciconia, Johannes",1370,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q378148"," composer ",5485,116,21,14340,27,21,NA,NA,NA,2.16257911707055
"90","Papa, Jacobus",1510,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q438090"," composer ",10301,122,23,13388,71,23,105933,60,24,5.28618416801158
"91","Cleve, Johannes",1529,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1698697"," composer ",NA,NA,NA,10361,15,2,NA,NA,NA,0.434563879785346
"92","Coclico, Adrianus",1499,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q376156"," composer ",3291,24,8,8694,21,8,NA,NA,NA,0.964406021198415
"93","Comes, Juan",1582,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q1710371"," composer ",NA,NA,NA,2083,5,4,NA,NA,NA,0.202603260821884
"94","Comp%C3%A8re, Loyset",1440,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q975576"," composer ",12306,98,13,20633,59,13,19645,88,13,3.12772391612459
"95","Cordier, Baude",1364,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q780780"," composer ",3527,22,15,2456,9,15,NA,NA,NA,1.17705126473519
"96","Cornet, Pieter",1570,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q326946"," composer ",NA,NA,NA,5228,14,5,6306,18,5,0.67369918739993
"97","Cornet, S%C3%A9verin",1530,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q326714"," composer ",NA,NA,NA,7240,12,5,13288,13,5,0.846600857693337
"98","Cornysh, William",1465,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1366992"," composer ",6810,52,8,1747,12,8,7310,13,8,1.28707374042583
"99","Corteccia, Francesco",1502,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1230392"," composer ",NA,NA,NA,1957,16,8,8578,30,8,0.829271336985365
"100","Costeley, Guillaume",1531,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q326158"," composer ",NA,NA,NA,1831,17,6,14498,48,6,0.852444006322794
"101"," Cousin ,  Jean ",1425,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1278110"," composer ",2390,14,3,3506,3,3,2962,4,3,0.564626398844985
"102"," Croce ,  Giovanni ",1557,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q920564"," composer ",NA,NA,NA,1614,23,12,3404,32,12,0.99721583106448
"103","Dachstein, Wolfgang",1487,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q2589406"," composer ",NA,NA,NA,2822,26,5,NA,NA,NA,0.294693871222843
"104","Dall%E2%80%99Aquila, Marco",1480,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q6757513"," composer ",NA,NA,NA,7363,9,4,3333,12,4,0.605071255598213
"105","Daman, William",1540,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q2578408"," composer ",NA,NA,NA,1342,5,2,NA,NA,NA,0.115672346969789
"106","Dambert, Dambert",1550,"Komponist","https://www.wikidata.org/wiki/Special:EntityPage/Q1125376"," composer ",NA,NA,NA,2169,4,1,NA,NA,NA,0.110523871419779
"107","Danckerts, Ghiselin",1510,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q538644"," composer ",NA,NA,NA,1480,9,5,1613,5,5,0.422610732123975
"108"," Daniel ,  Jehan ",1480,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q1686545"," composer ",NA,NA,NA,952,6,3,1835,8,3,0.285337139449103
"109","Danyel, John",1564,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1699751"," composer ",2483,13,7,1419,3,7,3271,10,7,0.89609591144475
"110","Daser, Ludwig",1526,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1626515"," composer ",NA,NA,NA,2219,20,2,NA,NA,NA,0.17093023654249
"111","Dattari, Ghinolfo",1537,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1521749"," composer ",NA,NA,NA,2030,5,2,NA,NA,NA,0.138679787497761
"112","Davy, Richard",1465,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1590180"," composer ",2364,15,4,1415,8,4,NA,NA,NA,0.407183952688753
"113","Daza, Esteban",1537,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q326420"," composer ",NA,NA,NA,6053,12,5,3791,4,5,0.616246444865365
"114","Latre, Jean",1510,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q326734"," composer ",NA,NA,NA,13769,13,5,6265,14,5,0.946164789481624
"115","Dedekind, Henning",1562,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1605463"," composer ",NA,NA,NA,1306,15,1,NA,NA,NA,0.100679647764572
"116","Dentice, Fabricio",1530,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q635911"," composer ",NA,NA,NA,1464,10,8,2668,13,8,0.653252977283937
"117","Dentice, Scipione",1560,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q290052"," composer ",NA,NA,NA,1555,5,6,3008,17,6,0.53796832656666
"118","Dering, Richard",1580,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q2149323"," composer ",NA,NA,NA,1702,10,5,11345,10,5,0.615838323647484
"119","Dietrich, Sixt",1493,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q2290875"," composer ",NA,NA,NA,3796,30,2,NA,NA,NA,0.240953495507514
"120","Diruta, Girolamo",1554,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1387558"," composer ",NA,NA,NA,1690,15,12,2152,18,12,0.92649575098678
"121","Divitis, Antonius",1475,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q606587"," composer ",NA,NA,NA,10359,28,5,NA,NA,NA,0.550196390046083
"122","D%C5%82ugoraj, Wojciech",1550,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q937469"," composer ",NA,NA,NA,1965,11,6,NA,NA,NA,0.271180351504891
"123"," Donato ,  Balthazar ",1525,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q804795"," composer ",4705,55,9,1549,9,9,5673,16,9,1.28379628211561
"124","Dorati, Nicolao",1513,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q2754386"," composer ",3868,12,3,1538,7,3,6505,4,3,0.613844189824474
"125","Dowland, John",1563,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q207355"," composer ",29706,410,35,12281,141,35,22537,122,35,6.17466257999623
"126","Dragoni, Giovanni",1540,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q713237"," composer ",2994,13,7,1233,15,7,3214,12,7,0.93173914957996
"127","Dre%C3%9Fler, Gallus",1533,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q324696"," composer ",4357,19,4,3721,25,4,NA,NA,NA,0.584113270295397
"128","Drusina, Petrus",1560,"Poland","https://www.wikidata.org/wiki/Special:EntityPage/Q1707951"," composer ",NA,NA,NA,1318,6,2,NA,NA,NA,0.116598434575692
"129","Duc, Philippe",1550,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q27031084"," composer ",NA,NA,NA,6465,5,1,NA,NA,NA,0.255915283271087
"130","Ducis, Benedictus",1490,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q122657"," composer ",NA,NA,NA,3452,17,3,NA,NA,NA,0.238052578524901
"131","Dufay, Guillaume",1397,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q207717"," composer ",22464,366,42,39270,138,42,29753,172,42,7.70087493626767
"132","Dulichius, Philipp",1562,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q883059"," composer ",NA,NA,NA,3919,31,3,NA,NA,NA,0.277870965972601
"133","Dunstable, John",1390,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q215134"," composer ",NA,NA,NA,3001,45,31,9713,45,31,2.42744723095272
"134","Eccard, Johannes",1553,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q61582"," composer ",NA,NA,NA,3549,54,13,4131,10,13,1.13255500154184
"135","Ecchienus, Caspar",1550,"Scandinavia","https://www.wikidata.org/wiki/Special:EntityPage/Q1047871"," composer ",NA,NA,NA,1436,5,2,NA,NA,NA,0.118815805414018
"136"," Edwardes ,  Richard ",1525,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q7325457"," composer ",NA,NA,NA,2295,16,6,NA,NA,NA,0.290859260809968
"137","Encina, Juan",1468,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q1191258"," poet ",24221,91,20,6824,22,20,6475,40,20,3.28609550514868
"138","Episcopius, Ludovicus",1520,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q640055"," composer ",4276,8,4,7855,9,4,7889,14,4,0.982435509060255
"139","Erbach, Christian",1568,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q470009"," composer ",NA,NA,NA,10521,19,6,NA,NA,NA,0.571131333949058
"140","Escobar, Pedro",1465,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q1366752"," composer ",NA,NA,NA,1880,14,7,NA,NA,NA,0.304599429617139
"141","Fabri, Thomas",1380,"Netherlands","https://www.wikidata.org/wiki/Special:EntityPage/Q2439253"," composer ",2338,7,6,5095,10,6,4082,11,6,0.941215757879505
"142","Faignient, No%C3%A9",1537,"Belgium","https://www.wikidata.org/wiki/Special:EntityPage/Q2134295"," composer ",NA,NA,NA,7966,7,3,13877,17,3,0.756918539444642
"143","1570), John",1570,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q510683"," composer ",2649,36,8,1607,7,8,1959,19,8,1.03928568658939
"144","Farnaby, Giles",1563,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1343764"," composer ",6496,69,12,8759,24,12,5495,40,12,1.97183936184423
"145","Fayrfax, Robert",1464,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q1973575"," composer ",5000,59,10,1616,15,10,5692,19,10,1.41398581638741
"146","Hidalgo, Gutierre",1553,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q1557215"," composer ",NA,NA,NA,2429,12,2,NA,NA,NA,0.16412347454629
"147"," Ferrabosco ,  Alfonso ",1543,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q726096"," composer ",4902,52,9,4219,13,9,5348,24,10,1.43049844361852
"148","J%C3%BCngere, Alfonso",1575,"United Kingdom","https://www.wikidata.org/wiki/Special:EntityPage/Q726038"," composer ",5160,63,7,2952,16,7,5766,21,7,1.19383783888576
"149","Ferrabosco, Domenico",1513,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1237142"," composer ",NA,NA,NA,1844,9,5,7476,19,5,0.57508886535814
"150","Ferrabosco, Matthia",1550,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1909638"," composer ",NA,NA,NA,1300,11,1,NA,NA,NA,0.0935643105184994
"151","Festa, Costanzo",1490,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q937584"," composer ",NA,NA,NA,2378,32,11,10394,48,11,1.14057126666191
"152","F%C3%A9vin, Antoine",1470,"France","https://www.wikidata.org/wiki/Special:EntityPage/Q2856873"," composer ",3295,73,6,11499,19,6,3600,21,6,1.30376140497101
"153","Figulus, Wolfgang",1525,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q1459579"," composer ",NA,NA,NA,4342,43,3,5679,39,3,0.613060131657309
"154"," Finck ,  Heinrich ",1445,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q677573"," composer ",NA,NA,NA,19508,39,11,3251,21,11,1.52796485804115
"155","Finck, Hermann",1527,"Germany","https://www.wikidata.org/wiki/Special:EntityPage/Q473515"," composer ",1400,23,5,2429,26,5,2949,17,5,0.770786253638016
"156","Flaccomio, Giovanni",1565,"Italy","https://www.wikidata.org/wiki/Special:EntityPage/Q1526322"," composer ",NA,NA,NA,2020,4,2,NA,NA,NA,0.136616704284371
"157","Jove, Mateu",1530,"Iberia","https://www.wikidata.org/wiki/Special:EntityPage/Q933678"," composer ",NA,NA,NA,3088,22,4,NA,NA,NA,0.2655989499275
